,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果
0,(套装）粗花呢千鸟格西装领双排扣纯色2018年冬季长袖修身套装f812,女装,套装,套装,"{'n': ['套装', '粗花呢', '千鸟', '格', '西装', '纯色', '长袖', '修身', '套装'], 'v': ['领', '扣'], 'm': ['双排', '2018', '年'], 't': ['冬季'], 'eng': ['f812']}","['套装', '外套', '其它', '套装']",套装
1,2018冬季新款气质修身针织打底加厚连衣裙女中长款收腰,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '气质', '修身', '针织', '打底', '连衣裙', '中长款'], 'nr': ['加厚'], 'b': ['女'], 'v': ['收腰']}","['其它', '连衣裙']",连衣裙
2,2018冬季新款韩范格子长袖百搭打底衬衫冬上衣服chic港味女装潮,女装,上衣,衬衫,"{'m': ['2018', '百'], 't': ['冬季', '冬上'], 'n': ['新款', '格子', '长袖', '打底', '衬衫', '衣服', '港味', '女装', '潮'], 'nr': ['韩范'], 'v': ['搭'], 'eng': ['chic']}","['其它', '其它', '上衣']",其它
3,2018冬装新款蕾丝打底衫女长袖冬季韩版大码修身加绒加厚冬季上衣,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['冬装', '新款', '蕾丝', '打底衫', '长袖', '版', '大码', '修身', '上衣'], 'b': ['女'], 't': ['冬季', '冬季'], 'j': ['韩'], 'nr': ['加绒', '加厚']}","['上衣', '其它', '上衣']",上衣
4,2018加厚高领毛衣女秋冬新款包芯纱韩版贴布显瘦长袖打底针织衫,女装,上衣,针织衫,"{'m': ['2018'], 'nr': ['加厚', '包芯纱'], 'n': ['高领', '毛衣', '新款', '版', '长袖', '打底', '针织衫'], 'b': ['女'], 't': ['秋冬'], 'j': ['韩'], 'v': ['贴布'], 'a': ['显瘦']}","['上衣', '其它', '其它', '上衣']",其它
5,2018加绒加厚刺绣蕾丝拼接大码女装修身保暖连衣裙长袖打底衫【DM】,女装,连衣裙,连衣裙,"{'m': ['2018'], 'nr': ['加绒', '加厚'], 'n': ['刺绣', '蕾丝', '大码', '女装', '修身', '连衣裙', '长袖', '打底衫'], 'v': ['拼接', '保暖'], 'ad': ['DM']}","['连衣裙', '其它', '上衣']",上衣
6,2018加绒打底裤棉竖条纹显瘦修身分层连裤袜外穿踩脚一体裤女,女装,裤子,打底裤,"{'m': ['2018'], 'nr': ['加绒'], 'n': ['打底裤', '条纹', '修身', '分层', '连裤袜', '脚', '一体', '裤女'], 'ng': ['棉'], 'v': ['竖', '穿', '踩'], 'a': ['显瘦'], 'f': ['外']}","['裤子', '日用']",日用
7,2018加绒新款优雅玫瑰粗跟高跟中筒靴,女装,鞋,中筒靴,"{'m': ['2018'], 'nr': ['加绒'], 'n': ['新款', '玫瑰', '中筒靴'], 'a': ['优雅', '粗'], 'v': ['跟高'], 'p': ['跟']}",['鞋'],鞋
8,2018加绒新款高腰牛仔裤女士直筒中年韩版大码弹力修身显瘦子小脚长裤,女装,裤子,牛仔裤,"{'m': ['2018'], 'nr': ['加绒'], 'n': ['新款', '腰', '牛仔裤', '女士', '直筒', '版', '大码', '弹力', '修身', '瘦子', '小脚', '长裤'], 'a': ['高'], 't': ['中年'], 'j': ['韩'], 'v': ['显']}","['裤子', '裤子', '裤子']",裤子
9,2018包芯纱半高领毛衣女套头宽松秋冬韩版长袖字母针织衫上衣,女装,上衣,针织衫,"{'m': ['2018', '半'], 'nr': ['包芯纱'], 'n': ['高领', '毛衣', '套头', '长袖', '字母', '针织衫', '上衣'], 'b': ['女'], 'a': ['宽松'], 't': ['秋冬'], 'nt': ['韩版']}","['上衣', '其它', '上衣', '上衣']",上衣
