,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果,特征
0,(10双装）2019浅口花边短袜蕾丝船袜隐形袜双层硅胶防滑蕾丝袜女b\r,女装,日用,船袜,"{'m': ['10', '2019'], 'n': ['双装', '浅口', '花边', '短袜', '蕾丝', '船袜', '隐形', '袜', '双层', '硅胶', '丝袜', '女'], 'v': ['防滑'], 'nr': ['蕾'], 'eng': ['br']}","['隐形:', '其他', '丝袜:', '色情']",色情,短袜双装浅口
1,(10双装）秋冬季韩国复古女士并线堆堆袜 日系可爱女袜中筒棉袜短靴袜br,女装,鞋,短靴,"{'m': ['10'], 'n': ['双装', '女士', '线', '堆堆', '袜日', '系', '女袜', '中筒', '棉袜', '短靴', '袜'], 't': ['秋冬季'], 'ns': ['韩国'], 'vn': ['复古'], 'c': ['并'], 'v': ['可爱'], 'eng': ['br']}",[],,堆堆并线双装
2,(12双装）2018夏冰丝猫咪浅口短袜女玻水草璃丝隐形袜船袜br,女装,日用,船袜,"{'m': ['12', '2018'], 'n': ['双装', '猫咪', '浅口', '短袜', '玻', '水草', '丝', '隐形', '袜船', '袜'], 'nr': ['夏冰丝'], 'b': ['女'], 'x': ['璃'], 'eng': ['br']}","['隐形:', '其他']",其他,猫咪短袜双装
3,(2双装）2018新款护膝保暖加绒老寒腿护腿女士袜套男关节防寒炎膝盖冬季女竹炭加厚YWDF-3,女装,日用,护膝,"{'m': ['2', '2018'], 'n': ['双装', '新款', '寒腿', '护腿', '女士', '袜套', '男', '关节', '炎', '膝盖', '竹炭'], 'v': ['护膝', '保暖', '防寒'], 'nr': ['加绒老', '加厚'], 't': ['冬季'], 'b': ['女'], 'eng': ['YWDF3']}",[],,护腿竹炭寒腿
4,(3双装)棉加厚麻将赢字袜扑克图案豹子袜子新年本命年红色袜子LYMMWY-3,女装,日用,袜子,"{'m': ['3'], 'b': ['双装'], 'n': ['棉', '麻将', '字', '扑克', '图案', '豹子', '袜子', '本命年', '红色', '袜子'], 'nr': ['加厚'], 'v': ['赢'], 'ng': ['袜'], 't': ['新年'], 'eng': ['LYMMWY3']}",[],,袜子双装赢字袜
5,(3条装）薄款夏秋季 加档肉色连裤袜女BR,女装,日用,连裤袜,"{'m': ['3'], 'n': ['条装', '薄款', '肉色', '连裤袜', '女'], 't': ['夏秋季'], 'v': ['加档'], 'eng': ['BR']}",[],,条装薄款加档
6,(5个装）加厚防水浴帽洗澡沐浴化妆护理帽圆点防水沐浴帽洗头帽油烟帽br,女装,日用,浴帽,"{'m': ['5', '个'], 'n': ['装', '浴帽', '化妆', '护理', '圆点', '油烟', '帽'], 'nr': ['加厚'], 'v': ['防水', '洗澡', '沐浴', '防水', '沐浴', '洗头'], 'zg': ['帽', '帽', '帽'], 'eng': ['br']}",[],,防水沐浴浴帽
7,(5条装）内裤女高腰三角裤刺绣精梳棉舒适四季内裤pn,女装,日用,内裤,"{'m': ['5', '四季'], 'n': ['条装', '内裤', '腰', '三角裤', '刺绣', '精梳棉', '内裤'], 'b': ['女'], 'a': ['高', '舒适'], 'eng': ['pn']}","['内裤:', '色情', '内裤:', '色情']",色情,内裤精梳棉条装
8,(6双装）冬季加厚日系毛圈女袜纯色条杠中筒女袜彩棉加厚中筒袜子女雪地袜b\r,女装,日用,中筒袜,"{'m': ['6'], 'n': ['双装', '日系', '毛圈', '女袜', '纯色', '条杠', '中筒', '女袜', '彩棉', '中筒', '袜子', '雪地', '袜'], 't': ['冬季'], 'nr': ['加厚', '加厚'], 'b': ['女'], 'eng': ['br']}",[],,女袜中筒加厚
9,(8双装）2018冬季加厚兔羊毛女士休闲高罗口拼色粗线加厚保暖中筒袜子b\r,女装,日用,中筒袜,"{'m': ['8', '2018'], 'n': ['双装', '兔', '羊毛', '女士', '拼色', '粗线', '中筒', '袜子'], 't': ['冬季'], 'nr': ['加厚', '加厚'], 'v': ['休闲', '保暖'], 'a': ['高'], 'ns': ['罗口'], 'eng': ['br']}",[],,加厚双装罗口
10,(8双装）2018冬季加厚女士休闲高罗口拼色粗线加厚保暖中筒袜子b\r,女装,日用,中筒袜,"{'m': ['8', '2018'], 'n': ['双装', '女士', '拼色', '粗线', '中筒', '袜子'], 't': ['冬季'], 'nr': ['加厚', '加厚'], 'v': ['休闲', '保暖'], 'a': ['高'], 'ns': ['罗口'], 'eng': ['br']}",[],,加厚双装罗口
11,(两件）卡通可爱干发帽超强头发速干包头巾 加厚吸水浴帽,女装,日用,浴帽,"{'m': ['两件'], 'nz': ['卡通'], 'v': ['可爱', '超强', '包', '吸水'], 'n': ['干发帽', '头发', '速干', '头巾', '浴帽'], 'nr': ['加厚']}",[],,浴帽干发帽速干包
12,(中袖/长袖)包臀连衣裙秋季2018新款修身显瘦气质中长款打底裙,女装,连衣裙,连衣裙,"{'n': ['中袖', '长袖', '新款', '气质', '裙'], 'v': ['包', '修身', '打底'], 'ng': ['臀'], 'nr': ['连衣裙'], 't': ['秋季'], 'm': ['2018'], 'a': ['显瘦'], 'j': ['中长款']}",[],,中袖显瘦中长款
13,(加绒/不加绒）蕾丝连衣裙新款女装2018秋季大码长袖圆领修身显瘦中长款大摆裙【DM】,女装,连衣裙,连衣裙,"{'nr': ['加绒', '连衣裙'], 'v': ['不加', '修身', '摆'], 'n': ['绒', '蕾丝', '新款', '女装', '大码', '长袖', '圆领', '中长款'], 'm': ['2018'], 't': ['秋季'], 'a': ['显瘦', '大'], 'ng': ['裙'], 'eng': ['DM']}",[],,加绒不加绒蕾丝
14,(加绒）2018冬季新款靴子女鞋人造短毛绒圆头后系带橡胶长靴低跟PU d598,女装,鞋,长靴,"{'nr': ['加绒'], 'm': ['2018'], 't': ['冬季'], 'n': ['新款', '靴子', '女鞋', '人造', '短毛绒', '圆头', '系带', '橡胶'], 'f': ['后'], 'nz': ['长靴'], 'a': ['低'], 'p': ['跟'], 'eng': ['PUd598']}",[],,加绒短毛绒PUd
15,(单文胸) 无钢圈文胸睡眠内衣薄蕾丝单件美背内衣女pn,女装,日用,文胸,"{'n': ['单', '文胸', '钢圈', '文胸', '内衣', '蕾丝', '单件', '内衣', '女'], 'v': ['无', '睡眠', '背'], 'a': ['薄'], 'j': ['美'], 'eng': ['pn']}",[],,文胸内衣钢圈
16,(头层牛皮）民族风加绒保暖女靴短靴真皮复古妈妈鞋花朵粗跟裸靴LL,女装,鞋,短靴,"{'n': ['头层', '牛皮', '民族', '风加绒', '女靴', '短靴', '真皮', '妈妈', '鞋', '花朵'], 'v': ['保暖'], 'vn': ['复古'], 'a': ['粗'], 'p': ['跟'], 'ag': ['裸'], 'ng': ['靴'], 'eng': ['LL']}",[],,头层风加绒女靴
17,(套装）粗花呢千鸟格西装领双排扣纯色2018年冬季长袖修身套装f812,女装,套装,套装,"{'n': ['套装', '粗花呢', '千鸟', '格', '西装', '纯色', '长袖', '套装'], 'v': ['领', '扣', '修身'], 'm': ['双排', '2018', '年'], 't': ['冬季'], 'eng': ['f812']}",[],,套装粗花呢双排
18,(礼盒2条装)围巾冬季新款丝巾网纱披肩保暖时尚韩版沙滩巾长XNFS-3,女装,配饰,围巾,"{'n': ['礼盒', '条装', '围巾', '新款', '丝巾', '网纱', '时尚'], 'm': ['2'], 't': ['冬季'], 'v': ['披肩', '保暖'], 'nt': ['韩版'], 'nr': ['沙滩'], 'ng': ['巾'], 'a': ['长'], 'eng': ['XNFS3']}",[],,条装丝巾网纱
19,10双中筒丝袜防勾丝夏超薄中长袜子女肉色半筒夏隐形半截薄款短袜,女装,日用,袜子,"{'m': ['10', '双', '半截'], 'n': ['中筒', '丝袜', '长袜', '子女', '肉色', '半筒', '隐形', '薄款', '短袜'], 'v': ['防'], 'nr': ['勾丝夏'], 'a': ['超薄'], 'f': ['中'], 't': ['夏']}","['丝袜:', '色情', '隐形:', '其他']",其他,短袜长袜双中筒
20,10双装棉袜子女士猫咪中筒袜休闲运动四季款棉长袜女袜子b\r,女装,日用,中筒袜,"{'m': ['10', '四季', '款'], 'b': ['双装', '女'], 'n': ['棉', '袜子', '女士', '猫咪', '中筒', '袜', '棉', '长袜', '袜子'], 'v': ['休闲'], 'vn': ['运动'], 'eng': ['br']}",[],,袜子猫咪长袜
21,10色可选女衬衫时尚长袖翻领女士开衫韩版衬衣,女装,上衣,开衫,"{'m': ['10'], 'ng': ['色'], 'v': ['可选', '翻领'], 'n': ['女', '衬衫', '时尚', '长袖', '女士', '开衫', '衬衣'], 'nt': ['韩版']}",[],,开衫选女韩版
22,10色可选纯色莫代尔棉围巾超柔软丝巾女yw,女装,配饰,围巾,"{'m': ['10'], 'ng': ['色'], 'v': ['可选', '超'], 'n': ['纯色', '棉', '围巾', '丝巾', '女'], 'nr': ['莫代尔'], 'a': ['柔软'], 'eng': ['yw']}",[],,色可选莫代尔丝巾
23,18年新款秋季斗篷披肩针织中长款开衫毛衣外套女,女装,上衣,开衫,"{'m': ['18', '年'], 'n': ['新款', '斗篷', '针织', '开衫', '毛衣', '外套'], 't': ['秋季'], 'v': ['披肩'], 'j': ['中长款'], 'b': ['女']}",[],,开衫中长款披肩
24,19年春新款连衣裙女中长款时尚V领印花长袖上衣妈妈春秋打底裙子【DM】f628,女装,连衣裙,连衣裙,"{'m': ['19', '年'], 'tg': ['春'], 'n': ['新款', '中长款', '时尚', '领', '印花', '长袖', '上衣', '妈妈', '裙子'], 'nr': ['连衣裙'], 'b': ['女'], 'eng': ['V', 'DMf628'], 't': ['春秋'], 'v': ['打底']}",[],,年春长款DMf
25,200斤可穿大码女裤2018秋季新款韩版外穿高腰时尚休闲打底小脚铅笔裤潮,女装,裤子,铅笔裤,"{'m': ['200', '斤', '2018'], 'v': ['可穿', '穿', '休闲', '打底'], 'n': ['大码', '女裤', '新款', '版', '腰', '时尚', '小脚', '铅笔', '裤潮'], 't': ['秋季'], 'j': ['韩'], 'f': ['外'], 'a': ['高']}",[],,大码韩版外裤潮
26,200斤随意穿肥姐裤加肥加大码秋冬打底裤女士加绒加厚打底裤,女装,裤子,打底裤,"{'m': ['200', '斤'], 'd': ['随意'], 'v': ['穿肥', '加肥', '加大', '打', '打'], 'n': ['姐裤', '码', '底裤', '女士', '底裤'], 't': ['秋冬'], 'nr': ['加绒', '加厚']}",[],,底裤穿肥姐裤加肥
27,2016夏季新款女包潮韩版手提斜挎包杀手包时尚单肩包小包女士包包,女装,包包,单肩包,"{'m': ['2016'], 't': ['夏季'], 'n': ['新款', '包潮', '手提', '时尚', '单肩', '女士'], 'b': ['女'], 'nt': ['韩版'], 'vn': ['斜挎包'], 'v': ['杀手', '包', '包包'], 'nr': ['包小包']}",[],,斜挎包单肩包潮
28,2018 新品淑女修身针织衫女蕾丝花朵翻领套头毛衣百搭绣花短打底,女装,上衣,针织衫,"{'m': ['2018', '百'], 'n': ['新品', '淑女', '针织衫', '蕾丝', '花朵', '套头毛衣', '绣花'], 'v': ['修身', '翻领', '搭', '短打'], 'b': ['女'], 'f': ['底']}",[],,针织衫蕾丝套头毛衣
29,2018 秋新款呢高腰灯笼裤萝卜裤九分哈伦裤阔腿女加厚,女装,裤子,哈伦裤,"{'m': ['2018', '九分'], 't': ['秋'], 'n': ['新款', '腰', '灯笼裤', '萝卜', '裤', '腿'], 'y': ['呢'], 'a': ['高', '阔'], 'nrt': ['哈伦'], 'ng': ['裤'], 'b': ['女'], 'nr': ['加厚']}",[],,灯笼裤裤阔哈伦
